state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
Andhra Pradesh,Chittor,Palamaner,Tomato,Hybrid,15/09/2018,200,800,500
Andhra Pradesh,Chittor,Piler,Tomato,Deshi,15/09/2018,500,600,550
Andhra Pradesh,Chittor,Punganur,Tomato,Hybrid,15/09/2018,733,870,800
Andhra Pradesh,Kurnool,Kurnool,Arhar (Tur/Red Gram)(Whole),Local,15/09/2018,3030,5450,3160
Andhra Pradesh,Kurnool,Kurnool,Bengal Gram(Gram)(Whole),Desi (Whole),15/09/2018,3040,4400,3040
Andhra Pradesh,Kurnool,Kurnool,Castor Seed,Other,15/09/2018,4149,4209,4189
Andhra Pradesh,Kurnool,Kurnool,Groundnut,Local,15/09/2018,2920,5211,4169
Andhra Pradesh,Kurnool,Kurnool,Maize,Local,15/09/2018,1086,1425,1086
Andhra Pradesh,Kurnool,Kurnool,Sunflower,Bold,15/09/2018,3758,4129,3889
Andhra Pradesh,Kurnool,Nandyal,Bengal Gram(Gram)(Whole),Desi (Whole),15/09/2018,4400,4500,4450
Andhra Pradesh,Kurnool,Pattikonda,Onion,Local,15/09/2018,600,1300,800
Assam,Bangaigaon,Bongiagaon,Green Chilli,Green Chilly,15/09/2018,3100,3200,3150
Assam,Bangaigaon,Bongiagaon,Jute,TD-5,15/09/2018,3500,3825,3750
Assam,Bangaigaon,Bongiagaon,Onion,Onion,15/09/2018,1750,1950,1900
Assam,Bangaigaon,Bongiagaon,Paddy(Dhan),Paddy fine,15/09/2018,1500,1530,1510
Assam,Bangaigaon,Bongiagaon,Rice,Fine,15/09/2018,3200,3300,3250
Assam,Barpeta,Howly,Brinjal,Brinjal,15/09/2018,1200,1400,1300
Assam,Barpeta,Howly,Cabbage,Cabbage,15/09/2018,1200,1400,1300
Assam,Barpeta,Howly,Cucumbar(Kheera),Cucumbar,15/09/2018,1300,1500,1400
Assam,Barpeta,Howly,Green Chilli,Green Chilly,15/09/2018,3100,3300,3200
Assam,Barpeta,Howly,Maida Atta,Maida Atta,15/09/2018,2400,2700,2500
Assam,Barpeta,Howly,Onion,Onion,15/09/2018,1900,2100,2000
Assam,Barpeta,Howly,Potato,Local,15/09/2018,1330,1350,1340
Assam,Barpeta,Howly,Pumpkin,Pumpkin,15/09/2018,800,1000,900
Assam,Barpeta,Howly,Rice,Common,15/09/2018,2400,2600,2500
Assam,Barpeta,Howly,Tomato,Tomato,15/09/2018,2000,2200,2100
Assam,Cachar,Cachar,Green Gram (Moong)(Whole),Green Gram Dhall-I,15/09/2018,6500,7000,6800
Assam,Cachar,Cachar,Lentil (Masur)(Whole),Masur Dal,15/09/2018,5200,6800,6600
Assam,Cachar,Cachar,Rice,Common,15/09/2018,2200,2500,2400
Assam,Cachar,Cachar,Rice,Fine,15/09/2018,2500,3000,2800
Assam,Darrang,Kharupetia,Ashgourd,Other,15/09/2018,800,1000,900
Assam,Darrang,Kharupetia,Bhindi(Ladies Finger),Bhindi,15/09/2018,2500,2600,2550
Assam,Darrang,Kharupetia,Bitter gourd,Bitter Gourd,15/09/2018,2000,2200,2100
Assam,Darrang,Kharupetia,Bottle gourd,Bottle Gourd,15/09/2018,1200,1300,1250
Assam,Darrang,Kharupetia,Brinjal,Round,15/09/2018,3000,3200,3100
Assam,Darrang,Kharupetia,Cluster beans,Cluster Beans,15/09/2018,2700,2800,2750
Assam,Darrang,Kharupetia,Cucumbar(Kheera),Cucumbar,15/09/2018,2000,2100,2050
Assam,Darrang,Kharupetia,Green Chilli,Green Chilly,15/09/2018,4500,5500,5000
Assam,Darrang,Kharupetia,Pointed gourd (Parval),Pointed gourd (Parval),15/09/2018,1200,1300,1250
Assam,Darrang,Kharupetia,Pumpkin,Pumpkin,15/09/2018,800,1000,900
Assam,Darrang,Kharupetia,Ridgeguard(Tori),Ridgeguard(Tori),15/09/2018,1700,1800,1750
Assam,Darrang,Kharupetia,Sponge gourd,Sponge gourd,15/09/2018,800,1000,900
Assam,Darrang,Kharupetia,Yam (Ratalu),Yam (Ratalu),15/09/2018,2500,2600,2550
Assam,Dibrugarh,Dibrugarh,Green Gram (Moong)(Whole),Green Gram Dhall-I,15/09/2018,6400,7000,6700
Assam,Dibrugarh,Dibrugarh,Potato,Local,15/09/2018,1700,1800,1750
Assam,Dibrugarh,Dibrugarh,Rice,Common,15/09/2018,2450,3400,2920
Assam,Goalpara,Goalpara,Maida Atta,Maida Atta,15/09/2018,2100,2400,2300
Assam,Goalpara,Goalpara,Mustard Oil,Mustard Oil,15/09/2018,8200,11000,10000
Assam,Goalpara,Goalpara,Rice,Broken Rice,15/09/2018,1700,2000,1850
Assam,Goalpara,Goalpara,Rice,Common,15/09/2018,2100,2500,2300
Assam,Goalpara,Goalpara,Rice,Fine,15/09/2018,3000,4500,4100
Assam,Jorhat,Jorhat,Onion,Onion,15/09/2018,1700,2000,1800
Assam,Jorhat,Jorhat,Rice,Common,15/09/2018,2500,7000,3200
Assam,Kamrup,P.O. Uparhali Guwahati,Maida Atta,Maida Atta,15/09/2018,2360,2400,2380
Assam,Kamrup,P.O. Uparhali Guwahati,Mustard Oil,Mustard Oil,15/09/2018,8944.5,10318,9627.9
Assam,Kamrup,P.O. Uparhali Guwahati,Onion,Onion,15/09/2018,1800,2200,2000
Assam,Kamrup,P.O. Uparhali Guwahati,Rice,Common,15/09/2018,2500,2800,2600
Assam,Kamrup,P.O. Uparhali Guwahati,Rice,Fine,15/09/2018,2600,3500,3050
Assam,Kamrup,Pamohi(Garchuk),Brinjal,Brinjal,15/09/2018,3000,4000,3400
Assam,Kamrup,Pamohi(Garchuk),Cabbage,Cabbage,15/09/2018,1200,1400,1300
Assam,Kamrup,Pamohi(Garchuk),Green Chilli,Green Chilly,15/09/2018,3000,5000,4500
Assam,Kamrup,Pamohi(Garchuk),Onion,Onion,15/09/2018,1600,1800,1700
Assam,Kamrup,Pamohi(Garchuk),Pointed gourd (Parval),Pointed gourd (Parval),15/09/2018,1500,1800,1600
Assam,Kamrup,Pamohi(Garchuk),Pumpkin,Pumpkin,15/09/2018,1000,1200,1100
Assam,Kamrup,Pamohi(Garchuk),Tomato,Tomato,15/09/2018,1400,1600,1500
Assam,Karimganj,Karimganj,Lentil (Masur)(Whole),Masur Dal,15/09/2018,5000,6000,5050
Assam,Karimganj,Karimganj,Rice,Common,15/09/2018,2350,2450,2400
Assam,Karimganj,Karimganj,Rice,Fine,15/09/2018,2700,4200,3500
Assam,Lakhimpur,North Lakhimpur,Lentil (Masur)(Whole),Masur Dal,15/09/2018,6139,6500,6400
Assam,Lakhimpur,North Lakhimpur,Rice,Common,15/09/2018,2450,2800,2600
Assam,Lakhimpur,North Lakhimpur,Rice,Fine,15/09/2018,3000,3800,3570
Assam,Nagaon,Dhing,Green Chilli,Green Chilly,15/09/2018,2200,3200,2500
Assam,Nagaon,Dhing,Green Gram (Moong)(Whole),Green Gram Dhall-I,15/09/2018,6800,7280,7200
Assam,Nagaon,Dhing,Jute,TD-5,15/09/2018,3200,3850,3600
Assam,Nagaon,Dhing,Maida Atta,Maida Atta,15/09/2018,2420,2520,2460
Assam,Nagaon,Dhing,Mustard,Mustard,15/09/2018,3600,4000,3850
Assam,Nagaon,Dhing,Mustard Oil,Mustard Oil,15/09/2018,9600,10300,10200
Assam,Nagaon,Dhing,Paddy(Dhan),Paddy fine,15/09/2018,1500,1720,1650
Assam,Nagaon,Dhing,Rice,Common,15/09/2018,2500,2900,2800
